addr:country,addr:province,addr:city,addr:district,addr:hamlet,addr:neighbourhood,addr:street,addr:housenumber,addr:floor,addr:unit,addr:full,x,y,source,source:url
TW,台灣省,新竹縣,竹北市,文化里,15,三民路,165號,B1,4,新竹縣竹北市文化里15鄰三民路165號之4地下一層,251569.23,2747257.59,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹北市,斗崙里,37,縣政二路南段,85號,,,新竹縣竹北市斗崙里37鄰縣政二路南段85號,251261.27,2745766.33,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹北市,斗崙里,37,縣政二路南段,87號,,,新竹縣竹北市斗崙里37鄰縣政二路南段87號,251259.42,2745762.62,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹北市,斗崙里,37,縣政二路南段,89號,,,新竹縣竹北市斗崙里37鄰縣政二路南段89號,251255.98,2745757.6,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹北市,斗崙里,37,縣政二路南段,91號,,,新竹縣竹北市斗崙里37鄰縣政二路南段91號,251253.07,2745752.83,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹北市,新崙里,10,中華路,307之1之1號,,,新竹縣竹北市新崙里10鄰中華路307之1之1號,250434.14,2747438.88,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹北市,新崙里,10,中華路,307之3之1號,,,新竹縣竹北市新崙里10鄰中華路307之3之1號,250437.31,2747443.38,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹北市,竹義里,6,中華路,352號,11,1,新竹縣竹北市竹義里6鄰中華路352號之1十一樓,250544.96,2747738.09,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹北市,竹義里,6,中華路,352號,11,2,新竹縣竹北市竹義里6鄰中華路352號之2十一樓,250547.08,2747732.79,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹北市,竹義里,6,中華路,352號,11,4,新竹縣竹北市竹義里6鄰中華路352號之4十一樓,250542.85,2747734.38,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹北市,竹義里,6,中華路,352號,12,4,新竹縣竹北市竹義里6鄰中華路352號之4十二樓,250542.85,2747734.38,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹北市,竹義里,6,中華路,352號,11,6,新竹縣竹北市竹義里6鄰中華路352號之6十一樓,255502.52,2744292.49,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,三重里,4,三重路,26、28號,6,,新竹縣竹東鎮三重里4鄰三重路26、28號六樓,256017.4,2739777.37,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,三重里,5,三重路,64號,1;2,,新竹縣竹東鎮三重里5鄰三重路64號一樓、二樓,256082.48,2739837.86,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,上舘里,17,中豐路二段,233號,11,1,新竹縣竹東鎮上舘里17鄰中豐路二段233號之1十一樓,259272.55,2735120.39,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,上舘里,17,中豐路二段,233號,12,1,新竹縣竹東鎮上舘里17鄰中豐路二段233號之1十二樓,259272.55,2735120.39,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,上舘里,17,中豐路二段,233號,13,1,新竹縣竹東鎮上舘里17鄰中豐路二段233號之1十三樓,259272.55,2735120.39,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,上舘里,17,中豐路二段,235號,11,1,新竹縣竹東鎮上舘里17鄰中豐路二段235號之1十一樓,259265.3,2735133.79,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,上舘里,17,中豐路二段,235號,12,1,新竹縣竹東鎮上舘里17鄰中豐路二段235號之1十二樓,259265.3,2735133.79,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,上舘里,17,中豐路二段,235號,13,1,新竹縣竹東鎮上舘里17鄰中豐路二段235號之1十三樓,259265.3,2735133.79,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,上舘里,14,光武街81巷,96號,B1,,新竹縣竹東鎮上舘里14鄰光武街81巷96號地下室底一層,259484.77,2734904.03,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,中正里,15,中山路,30號,13;14,,新竹縣竹東鎮中正里15鄰中山路30號十三至十四樓,259211.03,2736236.33,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,中正里,15,中山路,38號,13;14,,新竹縣竹東鎮中正里15鄰中山路38號十三至十四樓,259224.12,2736245.98,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,二重里,17,民族路,46號,1;2,,新竹縣竹東鎮二重里17鄰民族路46號一、二樓,255550.01,2740305.9,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,五豐里,6,自強路,22號,1;2,,新竹縣竹東鎮五豐里6鄰自強路22號一、二樓,258198.68,2737878.32,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,五豐里,6,自強路,24號,1;2,,新竹縣竹東鎮五豐里6鄰自強路24號一、二樓,258205.04,2737875.82,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,仁愛里,7,北興路二段,17號,1;2,,新竹縣竹東鎮仁愛里7鄰北興路二段17號一、二樓,259480.37,2736792.45,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,仁愛里,7,北興路二段,21號,B1,,新竹縣竹東鎮仁愛里7鄰北興路二段21號地下室一樓,259466.09,2736809.65,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,仁愛里,7,北興路二段,21號,B2,,新竹縣竹東鎮仁愛里7鄰北興路二段21號地下室二樓,259466.09,2736809.65,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,仁愛里,11,北興路二段81巷,2號,1;2,,新竹縣竹東鎮仁愛里11鄰北興路二段81巷2號一、二樓,259370.13,2736901.84,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,仁愛里,11,北興路二段81巷6弄,1號,3;4,,新竹縣竹東鎮仁愛里11鄰北興路二段81巷6弄1號三、四樓,259341.29,2736897.87,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,仁愛里,11,北興路二段81巷6弄,1號,5;6,,新竹縣竹東鎮仁愛里11鄰北興路二段81巷6弄1號五、六樓,259341.29,2736897.87,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,仁愛里,11,北興路二段81巷6弄,1號,7;8,,新竹縣竹東鎮仁愛里11鄰北興路二段81巷6弄1號七、八樓,259341.29,2736897.87,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,仁愛里,11,北興路二段81巷6弄,1號,9;10,,新竹縣竹東鎮仁愛里11鄰北興路二段81巷6弄1號九、十樓,259341.29,2736897.87,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,仁愛里,11,北興路二段81巷6弄,1號,11;12,,新竹縣竹東鎮仁愛里11鄰北興路二段81巷6弄1號十一、十二樓,259341.29,2736897.87,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,仁愛里,11,北興路二段81巷6弄,1號,13;14,,新竹縣竹東鎮仁愛里11鄰北興路二段81巷6弄1號十三、十四樓,259341.29,2736897.87,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,仁愛里,11,北興路二段81巷6弄,2號,4;5,,新竹縣竹東鎮仁愛里11鄰北興路二段81巷6弄2號四、五樓,259357.96,2736903.16,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,仁愛里,11,北興路二段81巷6弄,2號,6;7,,新竹縣竹東鎮仁愛里11鄰北興路二段81巷6弄2號六、七樓,259357.96,2736903.16,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,仁愛里,11,北興路二段81巷6弄,2號,8;9,,新竹縣竹東鎮仁愛里11鄰北興路二段81巷6弄2號八、九樓,259357.96,2736903.16,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,仁愛里,11,北興路二段81巷6弄,2號,10;11,,新竹縣竹東鎮仁愛里11鄰北興路二段81巷6弄2號十、十一樓,259357.96,2736903.16,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,仁愛里,11,北興路二段81巷6弄,2號,12;13,,新竹縣竹東鎮仁愛里11鄰北興路二段81巷6弄2號十二、十三樓,259357.96,2736903.16,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,仁愛里,11,北興路二段81巷6弄,3號,2;3,,新竹縣竹東鎮仁愛里11鄰北興路二段81巷6弄3號二、三樓,259335.47,2736906.07,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,仁愛里,11,北興路二段81巷6弄,3號,4;5,,新竹縣竹東鎮仁愛里11鄰北興路二段81巷6弄3號四、五樓,259335.47,2736906.07,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,仁愛里,11,北興路二段81巷6弄,3號,6;7,,新竹縣竹東鎮仁愛里11鄰北興路二段81巷6弄3號六、七樓,259335.47,2736906.07,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,仁愛里,11,北興路二段81巷6弄,3號,8;9,,新竹縣竹東鎮仁愛里11鄰北興路二段81巷6弄3號八、九樓,259335.47,2736906.07,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,仁愛里,11,北興路二段81巷6弄,3號,10;11,,新竹縣竹東鎮仁愛里11鄰北興路二段81巷6弄3號十、十一樓,259335.47,2736906.07,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,仁愛里,11,北興路二段81巷6弄,3號,12;13,,新竹縣竹東鎮仁愛里11鄰北興路二段81巷6弄3號十二、十三樓,259335.47,2736906.07,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,仁愛里,11,北興路二段81巷6弄,5號,2;3,,新竹縣竹東鎮仁愛里11鄰北興路二段81巷6弄5號二、三樓,259332.29,2736911.89,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,仁愛里,11,北興路二段81巷6弄,5號,4;5,,新竹縣竹東鎮仁愛里11鄰北興路二段81巷6弄5號四、五樓,259332.29,2736911.89,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,仁愛里,11,北興路二段81巷6弄,5號,6;7,,新竹縣竹東鎮仁愛里11鄰北興路二段81巷6弄5號六、七樓,259332.29,2736911.89,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,仁愛里,11,北興路二段81巷6弄,5號,8;9,,新竹縣竹東鎮仁愛里11鄰北興路二段81巷6弄5號八、九樓,259332.29,2736911.89,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,仁愛里,11,北興路二段81巷6弄,5號,10;11,,新竹縣竹東鎮仁愛里11鄰北興路二段81巷6弄5號十、十一樓,259332.29,2736911.89,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,仁愛里,11,北興路二段81巷6弄,5號,12;13,,新竹縣竹東鎮仁愛里11鄰北興路二段81巷6弄5號十二、十三樓,259332.29,2736911.89,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,仁愛里,11,北興路二段81巷6弄,6號,3;4,,新竹縣竹東鎮仁愛里11鄰北興路二段81巷6弄6號三、四樓,259355.31,2736907.39,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,仁愛里,11,北興路二段81巷6弄,6號,5;6,,新竹縣竹東鎮仁愛里11鄰北興路二段81巷6弄6號五、六樓,259355.31,2736907.39,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,仁愛里,11,北興路二段81巷6弄,6號,7;8,,新竹縣竹東鎮仁愛里11鄰北興路二段81巷6弄6號七、八樓,259355.31,2736907.39,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,仁愛里,11,北興路二段81巷6弄,6號,9;10,,新竹縣竹東鎮仁愛里11鄰北興路二段81巷6弄6號九、十樓,259355.31,2736907.39,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,仁愛里,11,北興路二段81巷6弄,6號,11;12,,新竹縣竹東鎮仁愛里11鄰北興路二段81巷6弄6號十一、十二樓,259355.31,2736907.39,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
TW,台灣省,新竹縣,竹東鎮,仁愛里,11,北興路二段81巷6弄,6號,13;14,,新竹縣竹東鎮仁愛里11鄰北興路二段81巷6弄6號十三、十四樓,259355.31,2736907.39,新竹縣政府,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=902&s=2663
